fold,validation_rows,validation_wells,weighted_f1,force_penalty
1,232938,19,0.6851294312746734,0.7933908379053654
2,233016,19,0.6483198269034763,0.9087117408246644
3,234638,20,0.6584981956681385,0.9256439707123313
4,235043,20,0.5915430929926733,0.8973209157473313
5,234876,20,0.672923749221564,0.7152976464176842
